Attribut,Datum,Kvalitet,Kvalitet.1,Matning,Vindriktning
Lufttemperatur,1573776000,G,,6.4,
Lufttemperatur,1573779600,G,,6.2,
Lufttemperatur,1573783200,G,,6.1,
Lufttemperatur,1573786800,G,,7.0,
Lufttemperatur,1573790400,G,,7.6,
Lufttemperatur,1573794000,G,,6.9,
Lufttemperatur,1573797600,G,,7.9,
Lufttemperatur,1573801200,G,,8.4,
Lufttemperatur,1573804800,G,,8.4,
Lufttemperatur,1573808400,G,,8.5,
Lufttemperatur,1573812000,G,,8.3,
Lufttemperatur,1573815600,G,,8.3,
Lufttemperatur,1573819200,G,,8.3,
Lufttemperatur,1573822800,G,,8.1,
Lufttemperatur,1573826400,G,,8.0,
Lufttemperatur,1573830000,G,,8.1,
Lufttemperatur,1573833600,G,,7.9,
Lufttemperatur,1573837200,G,,8.3,
Lufttemperatur,1573840800,G,,8.4,
Lufttemperatur,1573844400,G,,8.7,
Lufttemperatur,1573848000,G,,8.8,
Lufttemperatur,1573851600,G,,9.0,
Lufttemperatur,1573855200,G,,8.7,
Lufttemperatur,1573858800,G,,8.7,
Lufttemperatur,1573862400,G,,8.6,
Lufttemperatur,1573866000,G,,8.5,
Lufttemperatur,1573869600,G,,8.5,
Lufttemperatur,1573873200,G,,8.4,
Lufttemperatur,1573876800,G,,8.5,
Lufttemperatur,1573880400,G,,8.6,
Lufttemperatur,1573884000,G,,8.8,
Lufttemperatur,1573887600,G,,8.8,
Lufttemperatur,1573891200,G,,8.8,
Lufttemperatur,1573894800,G,,9.0,
Lufttemperatur,1573898400,G,,9.1,
Lufttemperatur,1573902000,G,,9.0,
Lufttemperatur,1573905600,G,,9.1,
Lufttemperatur,1573909200,G,,9.4,
Lufttemperatur,1573912800,G,,9.6,
Lufttemperatur,1573916400,G,,9.9,
Lufttemperatur,1573920000,G,,9.9,
Lufttemperatur,1573923600,G,,9.4,
Lufttemperatur,1573927200,G,,8.9,
Lufttemperatur,1573930800,G,,7.8,
Lufttemperatur,1573934400,G,,7.8,
Lufttemperatur,1573938000,G,,7.7,
Lufttemperatur,1573941600,G,,8.0,
Lufttemperatur,1573945200,G,,8.3,
Lufttemperatur,1573948800,G,,8.3,
Lufttemperatur,1573952400,G,,8.4,
Lufttemperatur,1573956000,G,,8.1,
Lufttemperatur,1573959600,G,,8.0,
Lufttemperatur,1573963200,G,,7.9,
Lufttemperatur,1573966800,G,,7.7,
Lufttemperatur,1573970400,G,,7.6,
Lufttemperatur,1573974000,G,,7.6,
Lufttemperatur,1573977600,G,,7.7,
